00000	61	81	62	65
00001	54	38	53	68
00002	58	85	53	89
00003	36	37	52	76
00004	74	57	79	30
00005	63	76	87	72
00006	68	78	65	30
00007	77	92	47	98
00008	45	35	90	52
00009	69	75	42	71
00010	72	66	74	68
00011	80	68	70	73
00012	83	73	97	41
00013	70	70	31	64
00014	39	51	43	71
00015	79	80	94	85
00016	80	40	99	96
00017	66	59	83	55
00018	66	35	77	68
00019	72	50	71	91
00020	39	36	56	70
00021	97	84	98	42
00022	57	80	38	61
00023	30	89	47	92
00024	59	100	86	80
00025	47	62	68	96
00026	81	51	60	89
00027	84	49	92	89
00028	46	86	39	49
00029	32	77	40	69
00030	60	53	84	71
00031	31	77	55	80
00032	99	66	95	49
00033	80	49	40	78
00034	75	90	63	89
00035	76	64	92	65
00036	71	82	71	80
00037	91	91	69	82
00038	48	83	77	60
00039	84	49	85	87
00040	43	92	46	70
00041	97	52	59	81
00042	52	70	86	68
00043	88	63	39	63
00044	80	98	89	96
00045	58	85	48	74
00046	90	55	90	38
00047	86	41	96	74
00048	77	99	91	75
00049	54	40	65	63
00050	84	38	89	68
00051	79	82	39	45
00052	37	94	87	90
00053	48	99	80	87
00054	74	85	83	30
00055	67	84	86	82
00056	57	48	43	30
00057	70	43	91	34
00058	99	54	72	88
00059	91	80	94	43
00060	44	70	65	65
00061	91	92	56	44
00062	78	56	57	70
00063	69	72	97	69
00064	96	52	49	33
00065	67	30	57	51
00066	54	94	75	88
00067	83	100	55	96
00068	68	66	63	60
00069	43	65	92	92
00070	62	50	52	60
00071	53	81	50	77
00072	75	77	74	90
00073	47	33	46	91
00074	67	75	58	68
00075	95	98	75	93
00076	77	46	45	75
00077	85	59	35	48
00078	66	99	62	37
00079	54	69	98	64
00080	74	83	46	95
00081	81	89	87	39
00082	61	76	61	36
00083	87	42	75	37
00084	34	79	79	70
00085	71	39	62	57
00086	91	52	96	30
00087	75	43	51	71
00088	94	69	70	80
00089	98	54	73	75
00090	75	98	48	88
00091	99	41	96	35
00092	41	56	98	85
00093	78	66	43	89
00094	56	60	36	70
00095	77	67	59	59
00096	93	75	43	85
00097	94	76	43	98
00098	70	59	88	50
00099	90	94	97	85
00100	65	53	56	44
00101	65	80	73	61
00102	44	53	31	60
00103	58	75	90	66
00104	72	31	66	37
00105	71	44	32	60
00106	48	44	37	67
00107	62	54	42	83
